cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence,match_method,similarity_score
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,2034,0.8491630479253796,exact,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,ventilated seats,2215,0.8305960445536156,exact,
honda.feature.bose_premium_audio_honda,pass,on-time firing within tolerance and confidence floor,Bose,2247,0.8289493801952754,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,2365,0.9292125606891004,exact,
workflow.discovery_budget_signal,pass,on-time firing within tolerance and confidence floor,budget,2717,0.8694035636730492,exact,
honda.feature.front-wheel-drive,pass,on-time firing within tolerance and confidence floor,Front-Wheel Drive,298,0.7826002957122766,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,panoramic moon roof,1316,0.8608265260012135,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,the rear,2771,0.8100033920526974,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,3378,0.8550520239887167,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,the touchscreen,3806,0.8379869169875016,exact,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,242,0.6542638017548854,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,1855,0.7563745084592156,exact,
universal.feature.hands_free_power_tailgate,fail,cue did not fire,,,,,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,5021,0.615728290646555,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,6489,0.7246290400749053,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8045,0.7893151599088963,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,11034,0.7027300709467604,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8045,0.7893151599088963,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15302,0.726963262223125,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,wireless Android Auto,14723,0.7398875645857511,exact,
universal.feature.heated_front_seats,pass,on-time firing within tolerance and confidence floor,heated seats,15609,0.7717332484202046,exact,
honda.feature.heated-side-mirrors,partial,confidence 0.43 below floor 0.5,Heated Side Mirrors,16106,0.428720999825548,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,16536,0.7371626489288994,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,Idle-Stop,18558,0.7493239308564862,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,5021,0.615728290646555,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,20796,0.6254315900398812,exact,
honda.feature.honda_sensing,fail,cue did not fire,,,,,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,1462,0.6373616626544067,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,29672,0.7145064725579577,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,5061,0.8118999941202764,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8909,0.8996966130589352,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,13177,0.7505212121439295,exact,
honda.feature.honda_sensing,fail,cue did not fire,,,,,
honda.feature.paddle-shifters,fail,cue did not fire,,,,,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15065,0.7766889817838302,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,15075,0.7743228127881953,exact,
workflow.trade_in_dent,pass,on-time firing within tolerance and confidence floor,a ding,17308,0.7181479363672135,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,1462,0.6373616626544067,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8909,0.8996966130589352,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15065,0.7766889817838302,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,15075,0.7743228127881953,exact,
honda.feature.hondalink,pass,on-time firing within tolerance and confidence floor,HondaLink,23356,0.6467585013059615,exact,
universal.feature.heated_front_seats,pass,on-time firing within tolerance and confidence floor,heated seats,23977,0.6372547115847761,exact,
universal.feature.wireless_phone_charger,pass,on-time firing within tolerance and confidence floor,wireless phone charger,24863,0.6016281899057485,exact,
honda.feature.reverse,partial,confidence 0.43 below floor 0.5,Reverse,25183,0.43464448427760566,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,29672,0.7145064725579577,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,340,0.7067585857882858,exact,
workflow.self_introduction,fail,cue did not fire,,,,,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1685,0.6424703897084367,exact,
workflow.test_drive_opening,pass,on-time firing within tolerance and confidence floor,take it out,4625,0.7386717811770315,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,6234,0.7684442955957115,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,9597,0.7849130401631035,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,13090,0.7335663330355836,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,13100,0.7314887851744089,exact,
honda.feature.reverse,partial,confidence 0.39 below floor 0.5,Reverse,14821,0.3940644294038446,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,Idle-Stop,16417,0.7211911850645585,exact,
workflow.walkaround_opening,fail,cue did not fire,,,,,
universal.feature.led_headlights,fail,cue did not fire,,,,,
honda.feature.honda_sensing_360plus,fail,cue did not fire,,,,,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,954,0.8494870397136791,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,12065,0.859914294936605,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,4547,0.9267497060843951,exact,
universal.feature.ventilated_front_seats,fail,cue did not fire,,,,,
universal.feature.heated_front_seats,fail,cue did not fire,,,,,
universal.feature.hands_free_power_tailgate,fail,cue did not fire,,,,,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,sunroof,2824,0.8423064437068251,exact,
honda.feature.bose_premium_audio_honda,fail,cue did not fire,,,,,
honda.feature.real_time_awd,fail,cue did not fire,,,,,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,485,0.8799577422471613,exact,
universal.feature.head_up_display,fail,cue did not fire,,,,,
