cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence
honda.feature.honda_sensing_360plus,partial,timestamp drift 5482ms exceeds 2000ms tolerance,Honda Sensing 360+,518,0.8690543766641373
universal.feature.wireless_apple_carplay,partial,timestamp drift 13420ms exceeds 2000ms tolerance,wireless Apple CarPlay,580,0.8483886897278623
universal.feature.heated_front_seats,partial,timestamp drift 19376ms exceeds 2000ms tolerance,heated front seats,624,0.856689760355138
universal.feature.ventilated_front_seats,partial,timestamp drift 23323ms exceeds 2000ms tolerance,ventilated front seats,677,0.9196885491714261
universal.feature.hands_free_power_tailgate,partial,timestamp drift 30276ms exceeds 2000ms tolerance,hands-free power tailgate,724,0.8679001405368058
universal.feature.panoramic_moonroof,partial,timestamp drift 37219ms exceeds 2000ms tolerance,panoramic moonroof,781,0.8702725998262468
honda.feature.bose_premium_audio_honda,partial,timestamp drift 43166ms exceeds 2000ms tolerance,Bose,834,0.868944814303379
honda.feature.real_time_awd,partial,timestamp drift 5103ms exceeds 2000ms tolerance,Real-Time AWD,897,0.8609189004512116
universal.feature.head_up_display,partial,timestamp drift 13028ms exceeds 2000ms tolerance,head-up display,972,0.8660726822381519
workflow.trade_in_dent,partial,timestamp drift 3900ms exceeds 2000ms tolerance,small dent,1100,0.8761667473702662
workflow.trade_in_tires,partial,timestamp drift 7870ms exceeds 2000ms tolerance,front tires,1130,0.8823629119281947
workflow.finance_introduction,partial,timestamp drift 2807ms exceeds 2000ms tolerance,finance manager,1193,0.8762322773925089
workflow.hospitality_offer,partial,timestamp drift 7878ms exceeds 2000ms tolerance,grab you a coffee,122,0.8154104897427612
workflow.self_introduction,partial,timestamp drift 3442ms exceeds 2000ms tolerance,welcome to,58,0.8025533476594735
workflow.discovery_school_runs,partial,timestamp drift 11778ms exceeds 2000ms tolerance,school runs,222,0.8096597598968701
workflow.discovery_highway_commute,fail,cue did not fire,,,
workflow.discovery_better_mileage,partial,timestamp drift 21714ms exceeds 2000ms tolerance,better mileage,286,0.8233890810367773
workflow.recommendation_logic,partial,timestamp drift 5686ms exceeds 2000ms tolerance,because you mentioned,314,0.8294148469890951
workflow.front_line_ready,partial,timestamp drift 4056ms exceeds 2000ms tolerance,grab the keys,444,0.7639328873493684
honda.feature.honda_sensing_360plus,partial,timestamp drift 5445ms exceeds 2000ms tolerance,Honda Sensing 360+,555,0.7899161533419258
universal.feature.wireless_apple_carplay,partial,timestamp drift 13377ms exceeds 2000ms tolerance,wireless Apple CarPlay,623,0.7896620419618049
universal.feature.heated_front_seats,partial,timestamp drift 19334ms exceeds 2000ms tolerance,heated front seats,666,0.8099847079219494
universal.feature.ventilated_front_seats,partial,timestamp drift 23283ms exceeds 2000ms tolerance,ventilated front seats,717,0.8998342214431563
universal.feature.hands_free_power_tailgate,partial,timestamp drift 30230ms exceeds 2000ms tolerance,hands-free power tailgate,770,0.7870941390196865
universal.feature.panoramic_moonroof,partial,timestamp drift 37167ms exceeds 2000ms tolerance,panoramic moonroof,833,0.8162947278940886
honda.feature.bose_premium_audio_honda,partial,timestamp drift 43127ms exceeds 2000ms tolerance,Bose,873,0.8294467468121428
honda.feature.real_time_awd,partial,timestamp drift 5075ms exceeds 2000ms tolerance,Real-Time AWD,925,0.8371917615932876
universal.feature.head_up_display,partial,timestamp drift 12983ms exceeds 2000ms tolerance,head-up display,1017,0.7210424031823914
workflow.trade_in_dent,partial,timestamp drift 3862ms exceeds 2000ms tolerance,small dent,1138,0.7184581680430394
workflow.trade_in_tires,partial,timestamp drift 7840ms exceeds 2000ms tolerance,front tires,1160,0.7404478780308158
workflow.finance_introduction,partial,timestamp drift 2780ms exceeds 2000ms tolerance,finance manager,1220,0.7340281596502245
workflow.hospitality_offer,partial,timestamp drift 7870ms exceeds 2000ms tolerance,grab you a coffee,130,0.8418378190691127
workflow.self_introduction,partial,timestamp drift 3443ms exceeds 2000ms tolerance,welcome to,57,0.8295743336504388
workflow.discovery_school_runs,partial,timestamp drift 11771ms exceeds 2000ms tolerance,school runs,229,0.8734308811233027
workflow.discovery_highway_commute,fail,cue did not fire,,,
workflow.discovery_better_mileage,partial,timestamp drift 21709ms exceeds 2000ms tolerance,better mileage,291,0.8708413577599313
workflow.recommendation_logic,partial,timestamp drift 5678ms exceeds 2000ms tolerance,because you mentioned,322,0.8723942946333502
workflow.front_line_ready,partial,timestamp drift 4047ms exceeds 2000ms tolerance,grab the keys,453,0.8087976171839197
honda.feature.honda_sensing_360plus,partial,timestamp drift 5436ms exceeds 2000ms tolerance,Honda Sensing 360+,564,0.8533943376073134
universal.feature.wireless_apple_carplay,partial,timestamp drift 13364ms exceeds 2000ms tolerance,wireless Apple CarPlay,636,0.8312397660705908
universal.feature.heated_front_seats,partial,timestamp drift 19315ms exceeds 2000ms tolerance,heated front seats,685,0.8391727569786016
universal.feature.ventilated_front_seats,fail,cue did not fire,,,
universal.feature.hands_free_power_tailgate,partial,timestamp drift 30223ms exceeds 2000ms tolerance,hands-free power tailgate,777,0.847840369556389
universal.feature.panoramic_moonroof,partial,timestamp drift 37172ms exceeds 2000ms tolerance,panoramic moonroof,828,0.8452207119918088
honda.feature.bose_premium_audio_honda,partial,timestamp drift 43132ms exceeds 2000ms tolerance,Bose,868,0.8518047612001916
honda.feature.real_time_awd,partial,timestamp drift 5079ms exceeds 2000ms tolerance,Real-Time AWD,921,0.8349601336640115
universal.feature.head_up_display,partial,timestamp drift 13002ms exceeds 2000ms tolerance,head-up display,998,0.8439526780630442
workflow.trade_in_dent,partial,timestamp drift 3867ms exceeds 2000ms tolerance,small dent,1133,0.8444384226299873
workflow.trade_in_tires,partial,timestamp drift 7840ms exceeds 2000ms tolerance,front tires,1160,0.8578258408078496
workflow.finance_introduction,partial,timestamp drift 2762ms exceeds 2000ms tolerance,finance manager,1238,0.8039444121579388
workflow.hospitality_offer,partial,timestamp drift 7874ms exceeds 2000ms tolerance,grab you a coffee,126,0.8382156222216571
workflow.self_introduction,partial,timestamp drift 3447ms exceeds 2000ms tolerance,welcome to,53,0.7880573188936689
workflow.discovery_school_runs,partial,timestamp drift 11772ms exceeds 2000ms tolerance,school runs,228,0.8697519448822557
workflow.discovery_highway_commute,fail,cue did not fire,,,
workflow.discovery_better_mileage,partial,timestamp drift 21707ms exceeds 2000ms tolerance,better mileage,293,0.8760208206519264
workflow.recommendation_logic,partial,timestamp drift 5676ms exceeds 2000ms tolerance,because you mentioned,324,0.875405305721188
workflow.front_line_ready,partial,timestamp drift 4058ms exceeds 2000ms tolerance,grab the keys,442,0.8575933312440842
honda.feature.honda_sensing_360plus,partial,timestamp drift 5466ms exceeds 2000ms tolerance,Honda Sensing 360+,534,0.8802587755767988
universal.feature.wireless_apple_carplay,partial,timestamp drift 13405ms exceeds 2000ms tolerance,wireless Apple CarPlay,595,0.8745194810132553
universal.feature.heated_front_seats,partial,timestamp drift 19366ms exceeds 2000ms tolerance,heated front seats,634,0.8779341293787964
universal.feature.ventilated_front_seats,partial,timestamp drift 23335ms exceeds 2000ms tolerance,ventilated front seats,665,0.8790485662717329
universal.feature.hands_free_power_tailgate,partial,timestamp drift 30272ms exceeds 2000ms tolerance,hands-free power tailgate,728,0.8851318209168765
universal.feature.panoramic_moonroof,partial,timestamp drift 37218ms exceeds 2000ms tolerance,panoramic moonroof,782,0.8805901440342242
honda.feature.bose_premium_audio_honda,partial,timestamp drift 43180ms exceeds 2000ms tolerance,Bose,820,0.8727090868604327
honda.feature.real_time_awd,partial,timestamp drift 5131ms exceeds 2000ms tolerance,Real-Time AWD,869,0.8657212338658529
universal.feature.head_up_display,partial,timestamp drift 13056ms exceeds 2000ms tolerance,head-up display,944,0.8675488038037671
workflow.trade_in_dent,partial,timestamp drift 3901ms exceeds 2000ms tolerance,small dent,1099,0.8676442009570345
workflow.trade_in_tires,partial,timestamp drift 7868ms exceeds 2000ms tolerance,front tires,1132,0.8766375390752699
workflow.finance_introduction,partial,timestamp drift 2803ms exceeds 2000ms tolerance,finance manager,1197,0.8668313666737582
workflow.hospitality_offer,partial,timestamp drift 6906ms exceeds 2000ms tolerance,grab you a coffee,94,0.7861069744896017
workflow.self_introduction,partial,timestamp drift 3449ms exceeds 2000ms tolerance,welcome to,51,0.8175617973981658
workflow.discovery_school_runs,partial,timestamp drift 5855ms exceeds 2000ms tolerance,school runs,145,0.8287052110268669
workflow.discovery_highway_commute,partial,timestamp drift 9338ms exceeds 2000ms tolerance,highway commuting,162,0.8383261444436542
honda.feature.honda_sensing_360plus,partial,timestamp drift 5773ms exceeds 2000ms tolerance,Honda Sensing 360+,227,0.8479175908951909
universal.feature.wireless_apple_carplay,partial,timestamp drift 12742ms exceeds 2000ms tolerance,wireless Apple CarPlay,258,0.8508944196179352
universal.feature.hands_free_power_tailgate,partial,timestamp drift 20698ms exceeds 2000ms tolerance,hands-free power tailgate,302,0.8528484501888429
universal.feature.panoramic_moonroof,partial,timestamp drift 27625ms exceeds 2000ms tolerance,panoramic moonroof,375,0.8841288934309378
honda.feature.real_time_awd,partial,timestamp drift 4076ms exceeds 2000ms tolerance,Real-Time AWD,424,0.8376161482718895
universal.feature.head_up_display,partial,timestamp drift 9530ms exceeds 2000ms tolerance,head-up display,470,0.798664889301601
workflow.finance_introduction,partial,timestamp drift 3493ms exceeds 2000ms tolerance,David Chen our finance manager,507,0.8079085704086262
